Q9NUL5	Q9NUL5
Q9BYC5	Q9BYC5
O15155	O15155
Q8WTW3	Q8WTW3
Q5TDH0	Q5TDH0
P60604	P60604
P60604	P62253
Q8NFH4	Q8NFH4
Q7Z7H8	Q7Z7H8
Q71H61	Q71H61
Q9BYG5	Q9BYG5
P61326	P61326
P61326	Q96A72
O14525	O14525
Q8NEJ0	Q8NEJ0
Q8NEJ0	Q9H596
Q8NEJ0	O95147
Q9Y2H1	Q9Y2H1
Q9Y2H1	Q15208
P82980	P82980
P82980	P09455
Q9H3P7	Q9H3P7
P49917	P49917
Q9P000	Q9P000
Q3MJ13	Q3MJ13
Q8IV08	Q8IV08
O14734	O14734
Q9UHR5	Q9UHR5
P78417	P78417
P78417	Q9H4Y5
P27105	P27105
P27105	Q8TAV4
Q96HB5	Q96HB5
P01375	P01375
Q5JY77	Q5JY77
O95832	O95832
O95832	Q8N6F1
O95832	O95471
Q16517	Q16517
Q8WUW1	Q8WUW1
Q92543	Q92543
Q9Y2K5	Q9Y2K5
Q9Y2K5	Q15032
P35573	P35573
Q96RE7	Q96RE7
Q96RE7	Q96BF6
P16422	P16422
P16422	P09758
P62826	P62826
P33316	P33316
P20701	P20701
O60306	O60306
Q9Y6A4	Q9Y6A4
O95249	O95249
Q4V328	Q4V328
Q52LJ0	Q52LJ0
Q52LJ0	Q8NCA5
Q9Y6B6	Q9Y6B6
Q9Y6B6	Q9NR31
Q13233	Q13233
Q9P0I2	Q9P0I2
Q12905	Q12905
Q9H987	Q9H987
Q13796	Q13796
Q9NRJ3	Q9NRJ3
O15382	O15382
O00115	O00115
P54803	P54803
Q6P5R6	Q6P5R6
Q6P5R6	P35268
Q7KZN9	Q7KZN9
P16035	P16035
P16035	P01033
P16035	P35625
P32119	P32119
P32119	Q06830
A1L020	A1L020
Q9BSL1	Q9BSL1
P11166	P11166
P11166	P14672
P11166	P11168
P11166	P11169
P11166	Q8TDB8
P11166	P22732
Q9BT92	Q9BT92
P18850	P18850
Q9Y2Q5	Q9Y2Q5
P38435	P38435
Q14289	Q14289
Q14289	Q05397
P29122	P29122
P80723	P80723
Q8IZ63	Q8IZ63
Q15436	Q15436
Q15436	Q15437
P30532	P30532
Q5EBL8	Q5EBL8
P55058	P55058
P82664	P82664
Q01201	Q01201
Q96SN8	Q96SN8
Q9NV06	Q9NV06
O43772	O43772
Q99816	Q99816
P56192	P56192
Q9UKK9	Q9UKK9
Q96T60	Q96T60
Q96MH6	Q96MH6
P49419	P49419
Q6P1M3	Q6P1M3
Q6P1M3	Q15334
Q13724	Q13724
Q5J8M3	Q5J8M3
Q9UKY4	Q9UKY4
P10909	P10909
Q5T124	Q5T124
Q5VXU9	Q5VXU9
P52657	P52657
Q02978	Q02978
Q93034	Q93034
Q9H8Y5	Q9H8Y5
Q7RTS9	Q7RTS9
Q4ADV7	Q4ADV7
P41223	P41223
Q8N3F8	Q8N3F8
Q6UXV4	Q6UXV4
O00391	O00391
P43487	P43487
O15091	O15091
Q9H6U8	Q9H6U8
P59910	P59910
P59910	Q9UDY4
P59910	O75953
P59910	P25685
Q6NUQ4	Q6NUQ4
Q14512	Q14512
Q5W0Q7	Q5W0Q7
P41567	P41567
Q96KA5	Q96KA5
Q86X55	Q86X55
Q8NEU8	Q8NEU8
Q8NEU8	Q9UKG1
Q9UBZ9	Q9UBZ9
P60484	P60484
Q32MZ4	Q32MZ4
Q8N878	Q8N878
P38570	P38570
Q96SL4	Q96SL4
Q9NXH3	Q9NXH3
Q9H3R2	Q9H3R2
Q99972	Q99972
P09917	P09917
P38606	P38606
Q8N960	Q8N960
Q8IYQ7	Q8IYQ7
Q9HAY6	Q9HAY6
Q6ZW31	Q6ZW31
O60512	O60512
Q96FF9	Q96FF9
Q12929	Q12929
Q9BXW7	Q9BXW7
O43462	O43462
Q96P48	Q96P48
Q8N2I9	Q8N2I9
O95759	O95759
O95759	Q66K14
O95759	Q6ZT07
Q86SG2	Q86SG2
P51513	P51513
Q9BSD3	Q9BSD3
Q14164	Q14164
Q14164	Q9UHD2
Q8N967	Q8N967
Q8N4N3	Q8N4N3
Q9HBB8	Q9HBB8
Q96S53	Q96S53
Q92506	Q92506
Q96JB8	Q96JB8
O43680	O43680
P01189	P01189
P46597	P46597
Q96P16	Q96P16
Q96P16	Q9NQG5
Q7Z4I7	Q7Z4I7
Q8TE12	Q8TE12
Q8TE12	O60663
Q9HCR9	Q9HCR9
Q969P5	Q969P5
Q9H0E3	Q9H0E3
Q53R41	Q53R41
Q8NBJ4	Q8NBJ4
Q7Z4W1	Q7Z4W1
P03951	P03951
P03951	P03952
Q6ZS17	Q6ZS17
Q9Y336	Q9Y336
Q96SJ8	Q96SJ8
Q6PI73	Q6PI73
Q6PI73	O75019
O15534	O15534
Q8NE63	Q8NE63
Q6UX65	Q6UX65
P51854	P51854
P51854	P29401
Q15722	Q15722
O60231	O60231
O00626	O00626
Q9NWS8	Q9NWS8
Q6PD74	Q6PD74
Q96LW4	Q96LW4
O60500	O60500
Q9HAH7	Q9HAH7
Q6ZSS3	Q6ZSS3
P41970	P41970
O43474	O43474
Q9Y276	Q9Y276
Q96KR4	Q96KR4
Q9H7N4	Q9H7N4
Q96NI6	Q96NI6
Q96NI6	Q9P244
Q96NI6	Q9ULH4
P20827	P20827
P20827	P52803
P20827	O43921
O60883	O60883
Q9UJA2	Q9UJA2
P22894	P22894
P22894	P03956
P22894	P45452
P22894	P08254
P29536	P29536
P13284	P13284
Q86TJ2	Q86TJ2
O75347	O75347
P51608	P51608
P16112	P16112
O75063	O75063
Q6QNK2	Q6QNK2
O14521	O14521
Q99619	Q99619
Q99619	Q96A44
Q99619	Q96BD6
P50238	P50238
Q9C029	Q9C029
Q9C029	P14373
Q86XS5	Q86XS5
Q8N0X7	Q8N0X7
Q11206	Q11206
P27144	P27144
P27144	Q9UIJ7
P27144	P54819
Q9NX09	Q9NX09
Q8IVF7	Q8IVF7
Q8IVF7	O95466
Q8IVF7	Q96PY5
Q147X3	Q147X3
O75298	O75298
Q9Y2M0	Q9Y2M0
Q6P1N9	Q6P1N9
O95997	O95997
Q96G74	Q96G74
O95340	O95340
O95340	O43252
Q99748	Q99748
Q86XN8	Q86XN8
Q86XN8	Q5U5Q3
Q92820	Q92820
P02753	P02753
Q9H116	Q9H116
Q96MG7	Q96MG7
P07357	P07357
P20333	P20333
Q96LA5	Q96LA5
Q9NZI8	Q9NZI8
Q9NZI8	O00425
Q9NZI8	Q9Y6M1
O15405	O15405
O15405	O94842
Q7Z572	Q7Z572
Q9H4B6	Q9H4B6
Q8N9S9	Q8N9S9
Q8N9S9	Q15036
Q5T7B8	Q5T7B8
A0A0K0K1A5	A0A0K0K1A5
P07202	P07202
Q2M1V0	Q2M1V0
Q7Z769	Q7Z769
Q53RE8	Q53RE8
Q9BRZ2	Q9BRZ2
A6PVS8	A6PVS8
Q9Y6E2	Q9Y6E2
Q9Y6E2	Q7L1Q6
O15344	O15344
O15344	Q9UJV3
P18074	P18074
Q9UBN7	Q9UBN7
Q8WWI1	Q8WWI1
Q9UKS6	Q9UKS6
Q9UKS6	Q9UNF0
Q96PV7	Q96PV7
Q8N573	Q8N573
Q96QF0	Q96QF0
P78352	P78352
P78352	Q92796
P78352	Q15700
P78352	Q12959
O95990	O95990
P62241	P62241
Q14258	Q14258
Q9BX69	Q9BX69
Q9Y320	Q9Y320
Q96DH6	Q96DH6
Q96DH6	O43347
P62910	P62910
Q9P0N9	Q9P0N9
Q9UHR4	Q9UHR4
Q9Y3B6	Q9Y3B6
Q9Y3B6	O43402
Q9UKL3	Q9UKL3
Q9BW72	Q9BW72
Q96IK5	Q96IK5
Q96I25	Q96I25
Q01850	Q01850
Q01850	Q86X02
Q7Z7J5	Q7Z7J5
O95232	O95232
Q96MV1	Q96MV1
P43246	P43246
P62750	P62750
Q86TV6	Q86TV6
Q86TV6	Q9ULT0
P03915	P03915
Q02086	Q02086
Q96F85	Q96F85
Q14746	Q14746
P11226	P11226
Q969Z0	Q969Z0
P53041	P53041
Q9P2K5	Q9P2K5
Q9P2K5	P52272
Q86UP2	Q86UP2
Q96PK6	Q96PK6
Q3BBV0	Q3BBV0
P49406	P49406
Q69YH5	Q69YH5
Q92748	Q92748
P78504	P78504
P78504	Q9Y219
Q9BSJ8	Q9BSJ8
P25686	P25686
Q99614	Q99614
Q9Y5S9	Q9Y5S9
Q9HCG7	Q9HCG7
O14966	O14966
O14966	P57729
O14966	Q13637
O95900	O95900
Q9UID3	Q9UID3
Q96BR5	Q96BR5
O60486	O60486
Q96AT1	Q96AT1
A8K0R7	A8K0R7
Q9NVH0	Q9NVH0
P0DP57	P0DP57
O95049	O95049
Q9ULK0	Q9ULK0
O94905	O94905
O94905	O75477
Q969X6	Q969X6
Q9BY41	Q9BY41
Q6Y2X3	Q6Y2X3
P21964	P21964
Q8NA29	Q8NA29
Q8TDV5	Q8TDV5
P57682	P57682
Q7Z6A9	Q7Z6A9
Q9Y3C0	Q9Y3C0
Q8N1W2	Q8N1W2
O43914	O43914
Q9Y222	Q9Y222
Q6PRD1	Q6PRD1
P57764	P57764
Q8WXU2	Q8WXU2
O75602	O75602
P46020	P46020
P46020	P46019
Q9UGM3	Q9UGM3
Q8TD16	Q8TD16
Q8TD16	Q96G01
Q86YN6	Q86YN6
Q9UHJ9	Q9UHJ9
Q8TBF4	Q8TBF4
Q5TKA1	Q5TKA1
Q9NRF8	Q9NRF8
Q9NRF8	P17812
Q8IVT2	Q8IVT2
Q9BU76	Q9BU76
Q8TBG4	Q8TBG4
A2RUB6	A2RUB6
Q8NDI1	Q8NDI1
Q13156	Q13156
Q13156	P15927
Q8N0X2	Q8N0X2
Q16644	Q16644
Q16644	P49137
Q38SD2	Q38SD2
Q9H2W1	Q9H2W1
O43708	O43708
Q6ZWE6	Q6ZWE6
Q15653	Q15653
Q96PI1	Q96PI1
P52744	P52744
P55197	P55197
P55197	P55198
A8MWX3	A8MWX3
Q8NFU7	Q8NFU7
Q9UGQ2	Q9UGQ2
Q14765	Q14765
Q14765	P52630
Q14765	P42224
Q14765	P40763
Q9Y3D8	Q9Y3D8
Q969K4	Q969K4
P13994	P13994
P58166	P58166
P58166	P55103
Q99626	Q99626
P0C7M8	P0C7M8
Q9H300	Q9H300
Q96AY2	Q96AY2
P62699	P62699
Q9NVN3	Q9NVN3
Q9NVN3	Q9NPQ8
Q8N3C7	Q8N3C7
P49116	P49116
P49116	P13056
Q99884	Q99884
Q99884	P48067
Q99884	P31641
Q99884	P48029
Q99884	Q9NSD5
Q99884	P48065
Q99884	P48066
Q99884	P23975
Q99884	Q01959
Q99884	P30531
Q99884	P31645
Q8N1K5	Q8N1K5
Q8WZA0	Q8WZA0
Q8WWU7	Q8WWU7
Q9UKR5	Q9UKR5
Q8IVD9	Q8IVD9
Q9UKI9	Q9UKI9
Q9UKI9	P09086
P33241	P33241
Q9BVQ7	Q9BVQ7
Q08493	Q08493
Q08493	Q08499
Q08493	Q07343
P43489	P43489
P43308	P43308
O95393	O95393
